"step";"bible_ref";"bible_ref_positive_negative";"bible_ref_origin";"bible_ref_author";"bible_ref_type";"category";"title_nl";"title_ot_nl";"title_ot_en";"title_ot_code";"title_en";"title_negative_en";"devotional_en";"devotional_nl";"devotional_source";"questions";"quote";"quote_source"
1;"Joh 5:24";"positive";;"Jesus";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Joh 6:40";"positive";;"Jesus";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Joh 6:47";"positive";;"Jesus";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Joh 6:51";"positive";;"Jesus";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Joh 6:69";"positive";;"Peter";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Joh 7:37-39";"positive";;"Jesus";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Joh 11:25-26";"positive";;"Jesus";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Joh 12:44-46";"positive";;"Jesus";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Joh 14:1";"positive";;"Jesus";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Joh 14:6";"positive";;"Jesus";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Joh 14:11";"positive";;"Jesus";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Joh 20:29";"positive";;"Jesus";"direct";"Salvation Commands";;;;;;;;;;;;
1;"Joh 20:31";"positive";;"Undetermined";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"1 Joh 1:9";"positive";;"John";"direct";"Salvation Commands";;;;;;;;;;;;
1;"1 Pet 1:8-9";"positive";;"Peter";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Opb 3:14-22";"both";;"Jesus";"study";"Salvation Commands";;;;;;;;;;;;
1;"Han 3:19";"positive";;"Peter";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Han 3:25-26";"positive";;"Peter";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Han 10:43";"positive";;"Peter";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Han 11:18";"positive";;"Undetermined";"direct";"Salvation Commands";;;;;;;;;;;;
1;"Rom 3:9-12";"negative";;"Paul";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Deut 5:6";"positive";"CCA1";"HEERE";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Ex 20:2";"positive";"CCA1";"HEERE";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"2 Kro 30:9";"positive";;"Undetermined";"direct";"Salvation Commands";;;;;;;;;;;;
